Pair_ID,Kan_Text,Ke_Text,Null_Text
MP001,@A_besarrrrrrrr @gilabola_ina lah norwey kan lolos,@A_besarrrrrrrr @gilabola_ina lah norwey ke lolos,@a_besarrrrrrrr @gilabola_ina lah norwey lolos
MP002,@an0therk4i_ Betul kan?,@an0therk4i_ Betul ke?,@an0therk4i_ betul
MP003,"@bedisnumberone OALAH JIR ISENG LAH

tp intinya lucu kan???","@bedisnumberone OALAH JIR ISENG LAH

tp intinya lucu ke???",@bedisnumberone oalah jir iseng lah tp intinya lucu
MP004,@BlackDah714 Betul.. balance kan dgn rl.. jgn sapu ds semua.. gelap..,@BlackDah714 Betul.. balance ke dgn rl.. jgn sapu ds semua.. gelap..,@blackdah714 betul.. balance dgn rl.. jgn sapu ds semua.. gelap
MP005,"@Bougenvilleas Bertumbuk lah kita kak, April mop kan ini 🫵","@Bougenvilleas Bertumbuk lah kita kak, April mop ke ini 🫵","@bougenvilleas bertumbuk lah kita kak, april mop ini 🫵"
MP006,@CNNIndonesia Mana ada maling ngaku maling. Betul kan bu??? @permadiaktivis4,@CNNIndonesia Mana ada maling ngaku maling. Betul ke bu??? @permadiaktivis4,@cnnindonesia mana ada maling ngaku maling. betul bu??? @permadiaktivis4
MP007,@curetsyi kan dah prnah,@curetsyi ke dah prnah,@curetsyi dah prnah
MP008,"@extrajossangurr Sedap kan, lagi ii bf punya 🫣","@extrajossangurr Sedap ke, lagi ii bf punya 🫣","@extrajossangurr sedap , lagi ii bf punya 🫣"
MP009,@hari_kun @buywle Lah sahamnya kan sama... Harganya sama kyk harga ril,@hari_kun @buywle Lah sahamnya ke sama... Harganya sama kyk harga ril,@hari_kun @buywle lah sahamnya sama... harganya sama kyk harga ril
MP010,"@heart4hyeon betul kan, kayaknya yg kanan tu palsu","@heart4hyeon betul ke, kayaknya yg kanan tu palsu","@heart4hyeon betul, kayaknya yg kanan tu palsu"
MP011,"@kimddaeeng Ye kan, dah lah mundur mundur 😔","@kimddaeeng Ye ke, dah lah mundur mundur 😔","@kimddaeeng ye, dah lah mundur mundur 😔"
MP012,@mastermindme6 Betul kan? 😂,@mastermindme6 Betul ke? 😂,@mastermindme6 betul? 😂
MP013,"@perum_damri @direktoridosen Ya kan masih muda, 2 tahun lagi mungkin dah bebas","@perum_damri @direktoridosen Ya ke masih muda, 2 tahun lagi mungkin dah bebas","@perum_damri @direktoridosen ya masih muda, 2 tahun lagi mungkin dah bebas"
MP014,@roosseri Lah itu arah bandara kan,@roosseri Lah itu arah bandara ke,@roosseri lah itu arah bandara
MP015,@sapphicsfess Lah fandom aespa tuh 🗿 mys kan isinya lesbi semua kbnykan,@sapphicsfess Lah fandom aespa tuh 🗿 mys ke isinya lesbi semua kbnykan,@sapphicsfess lah fandom aespa tuh 🗿 mys isinya lesbi semua kbnykan
MP016,@wicaksanas @Alwendozhang Lah tetap new material Kan...,@wicaksanas @Alwendozhang Lah tetap new material ke...,@wicaksanas @alwendozhang lah tetap new material
MP017,@zick4sho lah km kan istri ku,@zick4sho lah km ke istri ku,@zick4sho lah km istri ku
MP020,Betul firasat ak kan gaji kena potong😇 anjg,Betul firasat ak ke gaji kena potong😇 anjg,betul firasat ak gaji kena potong😇 anjg
MP021,Betul jugak kan? (Lawak santai lantai?),Betul jugak ke? (Lawak santai lantai?),betul jugak ? (lawak santai lantai?)
MP022,"Hari sabtu kena lukis kan? Nah, ambik ni.","Hari sabtu kena lukis ke? Nah, ambik ni.","hari sabtu kena lukis ? nah, ambik ni"
MP023,Kartun ni dulu Ade kat Astro ceria kan?,Kartun ni dulu Ade kat Astro ceria ke?,kartun ni dulu ade kat astro ceria
MP024,Nampak macam salji kan? https://t.co/npwqAJo4r6,Nampak macam salji ke? https://t.co/npwqAJo4r6,nampak macam salji? https://t.co/npwqajo4r6
MP025,"OMG!! SO CUTE!! 😍Kalau cabut cap lagi cute, kan? 🙈 https://t.co/pPFiorU0bc","OMG!! SO CUTE!! 😍Kalau cabut cap lagi cute, ke? 🙈 https://t.co/pPFiorU0bc","omg!! so cute!! 😍kalau cabut cap lagi cute, ? 🙈 https://t.co/ppfioru0bc"
MP026,"Pon boleh, kan? 🤦🏻‍♂️ https://t.co/mqil4vk0wh","Pon boleh, ke? 🤦🏻‍♂️ https://t.co/mqil4vk0wh",pon boleh? 🤦🏻‍♂️ https://t.co/mqil4vk0wh
MP027,Satu cadangan yang bagus...kan? https://t.co/GbrIqNi6o4,Satu cadangan yang bagus...ke? https://t.co/GbrIqNi6o4,satu cadangan yang bagus...? https://t.co/gbriqni6o4
MP028,tau kan entak kapak yang salah atau wanita yg salah😅,tau ke entak kapak yang salah atau wanita yg salah😅,tau entak kapak yang salah atau wanita yg salah😅
